ID1,Project,ProjectType,DevURL,DevUserName,DevDBName,DevDBUsername,DevDBPassword,ValURL,ValUserName,ValPass,ValDBName,ValDBUsername,ValDBPassword,ProdURL,ProdUsername,ProdPass,ProdDB,ProdDBPassword,GitLabRepo,GitHubRepo,ProjectOwner,StartDate,EndDate,DocURL,Email,Phone,Date
ED0001,,BusinessProcess,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,http://gitlab.com/sahyasheelan-erasmith/Auctor_Associates,https://github.com/sahyasheelan-erasmith/Auctor_Associates,Rohit,01/04/2021,01/13/2021,https://digiko.in/docs/Auctor_Associates/,,3.12312123312312E+023,
ED0002,Nascetur Ridiculus Mus LLC,BusinessProcess,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,http://gitlab.com/sahyasheelan-erasmith/Nascetur_Ridiculus_Mus_LLC,https://github.com/sahyasheelan-erasmith/Nascetur_Ridiculus_Mus_LLC,Divye,01/03/2022,12/09/2021,https://digiko.in/docs/Nascetur_Ridiculus_Mus_LLC/,sdasdasdas,hello heloooooooo,12 Dec 2021
ED0003,Donec Egestas Corporation,BusinessProcess,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,http://gitlab.com/sahyasheelan-erasmith/Donec_Egestas_Corporation,https://github.com/sahyasheelan-erasmith/Donec_Egestas_Corporation,Pavithra,08/05/2021,09/27/2020,https://digiko.in/docs/Donec_Egestas_Corporation/,meoifnoanfanfoan@,9871911066,
ED0004,Nam LLC,BusinessProcess,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,http://gitlab.com/sahyasheelan-erasmith/Nam_LLC,https://github.com/sahyasheelan-erasmith/Nam_LLC,Pranjal,06/12/2022,06/13/2021,https://digiko.in/docs/Nam_LLC/,jnskjdnanjkdn,m1231313123,
ED0005,Quis Tristique Ac Foundation,BusinessProcess,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,http://gitlab.com/sahyasheelan-erasmith/Quis_Tristique_Ac_Foundation,https://github.com/sahyasheelan-erasmith/Quis_Tristique_Ac_Foundation,Divye,07/03/2021,10/19/2020,https://digiko.in/docs/Quis_Tristique_Ac_Foundation/,vippuljangira@gmail.com,666666666m,
ED0006,Cras Eu Institute,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,http://gitlab.com/sahyasheelan-erasmith/Cras_Eu_Institute,https://github.com/sahyasheelan-erasmith/Cras_Eu_Institute,Tanish,07/23/2021,09/25/2021,https://digiko.in/docs/Cras_Eu_Institute/,darsh@gmail.com,6666666666,
ED0007,Morbi Accumsan Laoreet LLC,BusinessProcess,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,http://gitlab.com/sahyasheelan-erasmith/Morbi_Accumsan_Laoreet_LLC,https://github.com/sahyasheelan-erasmith/Morbi_Accumsan_Laoreet_LLC,Praveen,08/06/2020,02/11/2021,https://digiko.in/docs/Morbi_Accumsan_Laoreet_LLC/,divyekalra1@gmail.com,,
ED0008,Enim Curabitur Incorporated,BusinessProcess,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,http://gitlab.com/sahyasheelan-erasmith/Enim_Curabitur_Incorporated,https://github.com/sahyasheelan-erasmith/Enim_Curabitur_Incorporated,Tanish,04/28/2021,12/13/2020,https://digiko.in/docs/Enim_Curabitur_Incorporated/,f20191291@hyderabad.bits-pilani.ac.in,,
ED0009,Metus Aenean Sed Consulting,BusinessProcess,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,http://gitlab.com/sahyasheelan-erasmith/Metus_Aenean_Sed_Consulting,https://github.com/sahyasheelan-erasmith/Metus_Aenean_Sed_Consulting,Sathya,08/12/2020,08/07/2021,https://digiko.in/docs/Metus_Aenean_Sed_Consulting/,,,
ED0010,Mollis Incorporated,BusinessProcess,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,http://gitlab.com/sahyasheelan-erasmith/Mollis_Incorporated,https://github.com/sahyasheelan-erasmith/Mollis_Incorporated,Pavithra,12/01/2021,05/27/2022,https://digiko.in/docs/Mollis_Incorporated/,,,
ED0011,     oRcCI MeOw,BusinessProcess,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,http://gitlab.com/sahyasheelan-erasmith/Orci_Phasellus_Dapibus_LLP,https://github.com/sahyasheelan-erasmith/Orci_Phasellus_Dapibus_LLP,Astin,03/13/2021,11/26/2020,https://digiko.in/docs/Orci_Phasellus_Dapibus_LLP/,,,
ED0012,Imperdiet Foundation,BusinessProcess,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,http://gitlab.com/sahyasheelan-erasmith/Imperdiet_Foundation,https://github.com/sahyasheelan-erasmith/Imperdiet_Foundation,Praveen,07/14/2022,11/09/2020,https://digiko.in/docs/Imperdiet_Foundation/,,,
ED0013,Nullam Corp.,BusinessProcess,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,http://gitlab.com/sahyasheelan-erasmith/Nullam_Corp.,https://github.com/sahyasheelan-erasmith/Nullam_Corp.,Shashank,09/24/2020,05/16/2021,https://digiko.in/docs/Nullam_Corp./,,,
ED0014,Eget Consulting,bUsiNESSSSSS,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,http://gitlab.com/sahyasheelan-erasmith/Eget_Consulting,https://github.com/sahyasheelan-erasmith/Eget_Consulting,Partha,06/27/2021,03/10/2021,https://digiko.in/docs/Eget_Consulting/,,,
ED0015,Enim Corp.,BusinessProcess,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,http://gitlab.com/sahyasheelan-erasmith/Enim_Corp.,https://github.com/sahyasheelan-erasmith/Enim_Corp.,Shashank,01/28/2022,21 Dec 2021,https://digiko.in/docs/Enim_Corp./,,,
ED0016,Feugiat Incorporated,BusinessProcess,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,http://gitlab.com/sahyasheelan-erasmith/Feugiat_Incorporated,https://github.com/sahyasheelan-erasmith/Feugiat_Incorporated,Shourya,06/08/2022,12/09/2020,https://digiko.in/docs/Feugiat_Incorporated/,,,
ED0017,Scelerisque Lorem Ipsum Ltd,BusinessProcess,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,http://gitlab.com/sahyasheelan-erasmith/Scelerisque_Lorem_Ipsum_Ltd,https://github.com/sahyasheelan-erasmith/Scelerisque_Lorem_Ipsum_Ltd,Tanish,,10/04/2020,https://digiko.in/docs/Scelerisque_Lorem_Ipsum_Ltd/,,,
ED0018,aaaaaaaaa        ,BusinessProcess,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,http://gitlab.com/sahyasheelan-erasmith/Aliquam_Foundation,https://github.com/sahyasheelan-erasmith/Aliquam_Foundation,Vipul,04/29/2022,09/03/2020,https://digiko.in/docs/Aliquam_Foundation/,,,
ED0019,In Ltd,BusinessProcess,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,http://gitlab.com/sahyasheelan-erasmith/In_Ltd,https://github.com/sahyasheelan-erasmith/In_Ltd,Shruti,12/27/2021,17 Nov 2021,https://digiko.in/docs/In_Ltd/,,,
ED0020,Accumsan PC,BusinessProcess,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,http://gitlab.com/sahyasheelan-erasmith/Accumsan_PC,https://github.com/sahyasheelan-erasmith/Accumsan_PC,Astin,10/28/2021,11/04/2020,https://digiko.in/docs/Accumsan_PC/,,,
ED0021,Suspendisse Institute,ML/AI,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,http://gitlab.com/sahyasheelan-erasmith/Suspendisse_Institute,https://github.com/sahyasheelan-erasmith/Suspendisse_Institute,Darshan,01/26/2022,03/24/2022,https://digiko.in/docs/Suspendisse_Institute/,,,
ED0022,Netus Et Corp.,ML/AI,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,http://gitlab.com/sahyasheelan-erasmith/Netus_Et_Corp.,https://github.com/sahyasheelan-erasmith/Netus_Et_Corp.,Divye,12/10/2020,11/01/2021,https://digiko.in/docs/Netus_Et_Corp./,,,
ED0023,Mollis Corporation,ML/AI,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,http://gitlab.com/sahyasheelan-erasmith/Mollis_Corporation,https://github.com/sahyasheelan-erasmith/Mollis_Corporation,Partha,10/13/2020,05/24/2022,https://digiko.in/docs/Mollis_Corporation/,,,
ED0024,Id Blandit Corporation,ML/AI,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,http://gitlab.com/sahyasheelan-erasmith/Id_Blandit_Corporation,https://github.com/sahyasheelan-erasmith/Id_Blandit_Corporation,Rohit,03/11/2022,08/30/2020,https://digiko.in/docs/Id_Blandit_Corporation/,,,
ED0025,Hendrerit Donec Porttitor Consulting,ML/AI,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,http://gitlab.com/sahyasheelan-erasmith/Hendrerit_Donec_Porttitor_Consulting,https://github.com/sahyasheelan-erasmith/Hendrerit_Donec_Porttitor_Consulting,Darshan,06/10/2021,02/04/2021,https://digiko.in/docs/Hendrerit_Donec_Porttitor_Consulting/,,,
ED0026,Commodo Hendrerit Donec Limited,ML/AI,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,http://gitlab.com/sahyasheelan-erasmith/Commodo_Hendrerit_Donec_Limited,https://github.com/sahyasheelan-erasmith/Commodo_Hendrerit_Donec_Limited,Sathya,meow2222222,02/28/2021,https://digiko.in/docs/Commodo_Hendrerit_Donec_Limited/,,,
ED0027,At Fringilla Ltd,ML/AI,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,http://gitlab.com/sahyasheelan-erasmith/At_Fringilla_Ltd,https://github.com/sahyasheelan-erasmith/At_Fringilla_Ltd,Shruti,12/26/2020,02/17/2021,https://digiko.in/docs/At_Fringilla_Ltd/,,,
ED0028,,ML/AI,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,http://gitlab.com/sahyasheelan-erasmith/Ac_Libero_Consulting,https://github.com/sahyasheelan-erasmith/Ac_Libero_Consulting,Partha,04/09/2022,11/15/2021,https://digiko.in/docs/Ac_Libero_Consulting/,,,
ED0029,Ornare LLP,ML/AI,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,http://gitlab.com/sahyasheelan-erasmith/Ornare_LLP,https://github.com/sahyasheelan-erasmith/Ornare_LLP,Vinita,meow,04/20/2022,https://digiko.in/docs/Ornare_LLP/,,,
